,county.x,cases,deaths,log(deaths),log(cases),CFR,death_100k,cases_100k,fips,state.x,cases.x,deaths.x,Poor.or.fair.health.raw.value,Adult.smoking.raw.value,Adult.obesity.raw.value,Physical.inactivity.raw.value,Excessive.drinking.raw.value,Sexually.transmitted.infections.raw.value,Uninsured.raw.value,Diabetes.monitoring.raw.value,High.school.graduation.raw.value,Some.college.raw.value,Unemployment.raw.value,Children.in.poverty.raw.value,Income.inequality.raw.value,Air.pollution...particulate.matter.raw.value,Severe.housing.problems.raw.value,HIV.prevalence.raw.value,Food.insecurity.raw.value,Limited.access.to.healthy.foods.raw.value,Uninsured.adults.raw.value,Median.household.income.raw.value,Population.raw.value,X..below.18.years.of.age.raw.value,X..65.and.older.raw.value,X..Non.Hispanic.African.American.raw.value,X..American.Indian.and.Alaskan.Native.raw.value,X..Asian.raw.value,X..Native.Hawaiian.Other.Pacific.Islander.raw.value,X..Hispanic.raw.value,X..Non.Hispanic.white.raw.value,Poverty.raw.value,Communicable.disease.raw.value,Drug.overdose.deaths.raw.value,Violent.crime.raw.value,Frequent.mental.distress.raw.value,lon,lat,POP_LONGITUDE,POP_LATITUDE,PopulationEstimate2018,PopulationDensityperSqMile2010,HeartDiseaseMortality,StrokeMortality,RespMortalityRate2014,Smokers_Percentage,DiabetesPercentage,SVIPercentile,CFR.x,death_100k.x,cases_100k.x,cases.y,deaths.y,CFR.y,death_100k.y,cases_100k.y
13,DeSoto,604,10,2.302585093,6.403574198,1.655629139,26.67449118,1611.139268,12027,Florida,937,15,0.262714199,0.202322291,0.368,0.3,0.166813472,317,0.257201974,0.861209964,0.62,0.195767782,0.051875971,0.42,3.833431988,6.5,0.186502508,475.5,0.159,0.057895063,0.313386428,34146,35800,0.198798883,0.205586592,0.122039106,0.011452514,0.008100559,0.002039106,0.310921788,0.548296089,NA,NA,15.9969888,458.7637224,0.148390239,-81.84804122,27.18256275,-81.864094,27.189369,37489,54.7,134.6,26.9,49.68,21.3119303,12.7,0.9618,1.600853789,40.01173678,2499.399824,1620,37,2.283950617,98.69561738,4321.267572
14,Dixie,68,4,1.386294361,4.219507705,5.882352941,23.95209581,407.1856287,12029,Florida,766,5,0.269097936,0.247456911,0.304,0.324,0.171600819,282.9,0.142844154,0.807228916,0.975,0.366107114,0.05543672,0.339,4.199708068,7,0.115448505,313.9,0.176,0.035756214,0.170878159,34146,16300,0.18809816,0.223680982,0.095644172,0.004907976,0.004233129,0.000184049,0.04208589,0.838466258,NA,NA,30.98533361,404.0445475,0.148797744,-83.15632586,29.60918676,-83.056329,29.634179,16700,23.3,187.5,45.1,86.51,24.65165047,12.1,0.8994,0.652741514,29.94011976,4586.826347,465,2,0.430107527,11.9760479,2784.431138
15,Duval,6207,64,4.158883083,8.733432966,1.031093926,6.735558804,653.2439609,12031,Florida,24068,327,0.178086792,0.181628334,0.305,0.244,0.200123037,722.3,0.132105489,0.841008772,0.77,0.655397273,0.050331942,0.206,4.586845982,8.5,0.201153203,762.2,0.2,0.086308739,0.158581747,51948,926255,0.226459236,0.134948799,0.292680741,0.004386481,0.048755472,0.001196215,0.092219745,0.539213284,NA,NA,26.19691973,644.6939053,0.125852654,-81.6658339,30.31514695,-81.622853,30.300302,950181,1133.9,171.6,43.7,59.14,19.79015836,11.3,0.692,1.35865049,34.41449576,2532.991083,43445,385,0.886177926,40.51859593,4572.286754
16,Escambia,1952,45,3.80666249,7.576609767,2.305327869,14.26153758,618.6338081,12033,Florida,10307,191,0.169141911,0.167052177,0.29,0.261,0.179459083,641.9,0.127224829,0.818506085,0.73,0.666317238,0.049491458,0.258,3.892191799,8.9,0.160460875,467.6,0.192,0.119902507,0.153607724,45004,315187,0.208707847,0.164432543,0.225129844,0.009365869,0.032422023,0.001862387,0.056382402,0.64772976,NA,NA,15.47741418,735.9207008,0.120224736,-87.39657433,30.7209762,-87.274788,30.485314,315534,453.4,181.7,42.7,70.16,20.24583017,11.8,0.4863,1.853109537,60.53230397,3266.525953,14575,203,1.392795883,64.33538066,4619.153562
17,Flagler,310,5,1.609437912,5.736572297,1.612903226,4.461616711,276.6202361,12035,Florida,1428,22,0.136132835,0.155408318,0.241,0.233,0.173002989,301.7,0.158183485,0.884064886,0.77,0.58954009,0.055397475,0.193,3.675837172,6.5,0.186700056,181.9,0.153,0.127292941,0.181901411,50863,108310,0.174914597,0.296777768,0.102492845,0.004284,0.024226757,0.00090481,0.102732896,0.751611116,NA,NA,13.91920534,265.0167844,0.119462286,-81.31543056,29.45995484,-81.224735,29.523494,112067,197.1,145.5,37.1,42.3,17.42753178,8.5,0.2799,1.540616246,19.63111353,1274.237733,2869,26,0.906239108,23.2004069,2560.075669
18,Franklin,NA,NA,NA,NA,NA,NA,NA,12037,Florida,621,4,0.189095983,0.181608765,0.331,0.272,0.246591602,347,0.171347937,0.821596244,0.475,0.36201598,0.043114274,0.359,5.183722549,7.1,0.184488837,202.9,0.177,0.010101498,0.201724448,37479,11901,0.162003193,0.219981514,0.136459121,0.008150576,0.003613142,0.000672212,0.053020755,0.782791362,NA,NA,NA,456.8412689,0.125931417,-84.80046505,29.91230768,-84.822838,29.786787,11736,21.6,196.1,39.5,76.47,19.52304626,9.9,0.8083,0.644122383,34.08316292,5291.411043,470,0,0,0,4004.771643
19,Gadsden,378,7,1.945910149,5.934894196,1.851851852,15.25253846,823.6370767,12039,Florida,2444,40,0.238790073,0.172489142,0.357,0.327,0.144470485,786.5,0.164804469,0.81425486,0.65,0.403648803,0.062649946,0.338,4.767070836,9.2,0.207830439,719.2,0.246,0.055838156,0.198374485,40865,46006,0.22160153,0.165521888,0.553232187,0.005542755,0.006673043,0.001456332,0.101595444,0.327435552,NA,NA,NA,461.5675825,0.139003613,-84.62046856,30.58010526,-84.581397,30.59828,45894,89.8,180,38.2,55.88,20.37359451,17.9,0.9901,1.636661211,87.15736262,5325.314856,1860,16,0.860215054,34.86294505,4052.817362
20,Gilchrist,NA,NA,NA,NA,NA,NA,NA,12041,Florida,411,12,0.203117991,0.214915807,0.316,0.31,0.171451245,253,0.186452407,0.871212121,0.925,0.484866123,0.051413109,0.25,4.426026125,7.4,0.155378486,143.2,0.168,0.002694309,0.214864723,41721,17212,0.209504997,0.202707413,0.045723914,0.006507088,0.005577504,0.001045782,0.055775041,0.874854753,NA,NA,NA,242.6044764,0.141370806,-82.80311778,29.72378408,-82.808262,29.704639,18256,48.4,141.3,42.1,74.86,21.25315772,12.8,0.7567,2.919708029,65.7318142,2251.314636,603,14,2.32172471,76.68711656,3303.023663
21,Glades,NA,NA,NA,NA,NA,NA,NA,12043,Florida,378,3,0.219234005,0.205019544,0.331,0.334,0.177939292,286,0.261803084,0.826388889,NA,0.304859177,0.062084718,0.307,4.443663971,6.3,0.144343303,639.4,0.155,0.310960793,0.294857507,39607,13970,0.160343593,0.27809592,0.124552613,0.056478168,0.006299213,0.000787402,0.213743737,0.604223336,NA,NA,NA,293.0921219,0.138551682,-81.21348091,26.9472777,-81.185404,26.896029,13724,16,128.3,28.1,44.14,20.43130385,18,0.9048,0.793650794,21.85951618,2754.299038,280,8,2.857142857,58.29204314,2040.22151
22,Gulf,NA,NA,NA,NA,NA,NA,NA,12045,Florida,852,14,0.21184061,0.183073941,0.314,0.295,0.219972836,263.4,0.143198339,0.805555556,0.825,0.481082321,0.045371143,0.299,5.171070173,7.2,0.191449814,219.3,0.169,0.066778797,0.166132404,38381,15990,0.154971857,0.193245779,0.180362727,0.005628518,0.005628518,0.000250156,0.046779237,0.745653534,NA,NA,NA,475.2135321,0.120077483,-85.24715852,29.95849768,-85.259478,29.988579,16164,28.1,188.3,33.6,80.75,20.20930676,11,0.592,1.643192488,86.6122247,5270.972532,653,17,2.603369066,105.1719871,4039.841623
