"","CFR.y","X..65.and.older.raw.value","Uninsured.adults.raw.value","Median.household.income.raw.value","HIV.prevalence.raw.value","Unemployment.raw.value","Adult.obesity.raw.value","Excessive.drinking.raw.value","Severe.housing.problems.raw.value","X..below.18.years.of.age.raw.value","StrokeMortality","RespMortalityRate2014","HeartDiseaseMortality","DiabetesPercentage","SVIPercentile","Adult.smoking.raw.value","X..Non.Hispanic.African.American.raw.value","X..American.Indian.and.Alaskan.Native.raw.value","X..Asian.raw.value","X..Native.Hawaiian.Other.Pacific.Islander.raw.value","X..Hispanic.raw.value","X..Non.Hispanic.white.raw.value"
"42",2.090153614,0.30272021,0.191762065,55917,290.1,0.048592705,0.2,0.200953781,0.187736314,0.165745648,32.5,45.67,118.7,6.4,0.399,0.132561439,0.051852225,0.009521049,0.013528585,0.001909251,0.13195254,0.79014625
"43",0.738051165,0.159616948,0.257120732,45886,1130.3,0.054039105,0.212,0.166783909,0.31621158,0.203478508,37.2,33.65,152.4,6.7,0.8175,0.135136217,0.161985591,0.002844879,0.016419426,0.000481027,0.676538964,0.138075413
"44",0.495212942,0.216927805,0.218790033,63892,828.4,0.031592813,0.228,0.260802674,0.283779029,0.149423979,34,39.11,149.4,4.8,0.4557,0.159824126,0.061282042,0.004767505,0.013847263,0.001138131,0.230433628,0.677213349
"45",0.676861369,0.21399866,0.137812622,67967,163.1,0.045702958,0.289,0.185580514,0.148557179,0.200019846,39.1,70.06,165.7,8.6,0.2459,0.158547657,0.05832155,0.005035846,0.009736796,0.000868249,0.041948848,0.872764258
"46",1.432173475,0.157980812,0.146595125,58009,237.7,0.040148358,0.255,0.201022715,0.171814541,0.220997167,34.6,71.16,164,10.1,0.386,0.173543466,0.095282597,0.007282398,0.031704529,0.002296565,0.086861858,0.74402744
"47",2.058823529,0.183732698,0.289968063,37689,386.2,0.054345972,0.292,0.162827336,0.190314037,0.223371534,33.6,76.53,230.8,12.2,0.9465,0.214661424,0.083444957,0.015007194,0.010641465,0.001165848,0.255494369,0.631740834
"48",0.692203907,0.112631404,0.187292259,51312,738.1,0.044011836,0.24,0.20681652,0.235499634,0.225445405,42.4,45.49,151,9.3,0.6691,0.145469534,0.202845933,0.005649868,0.055998819,0.001977378,0.305354593,0.415730918
"49",0.974156209,0.132136958,0.214209654,50716,410.9,0.050409293,0.286,0.18351383,0.24354366,0.247012782,35.8,52.08,178.7,11,0.8178,0.163911984,0.095849888,0.008124637,0.028983825,0.002410607,0.523071887,0.337217089
"50",1.28576346,0.233025814,0.202267611,57607,639.3,0.048173644,0.222,0.177541906,0.237554981,0.1939064,32.1,32.77,123.6,7.7,0.5592,0.133660886,0.183085725,0.005925988,0.02797321,0.001103331,0.214674369,0.559919242
"51",1.414010487,0.228579849,0.168731059,46326,221.2,0.052021941,0.321,0.190344635,0.166797435,0.202904943,38.3,65.69,158.3,10.3,0.6344,0.207305275,0.051267839,0.004455782,0.02454681,0.000993427,0.143078803,0.760769603
"52",1.3278168,0.238330228,0.167595675,49974,496.4,0.04374432,0.256,0.207461089,0.194517247,0.166726344,27.2,48.48,148.3,8,0.5169,0.174458759,0.103739865,0.003851238,0.03455081,0.001197006,0.093059444,0.748056166
"53",1.432920641,0.199916235,0.190969229,46289,396.3,0.05639512,0.344,0.150079103,0.183831697,0.224487314,39.2,55.88,171.8,12.6,0.9035,0.169273566,0.145339856,0.00632291,0.019456608,0.001155898,0.21112694,0.605891475
"54",1.70166546,0.219129184,0.211801057,37526,385.5,0.062949575,0.379,0.173845892,0.205998563,0.216140681,36.2,86.99,183,14.2,0.9525,0.248918231,0.158764199,0.006862487,0.006488925,0.001549594,0.097776609,0.717309794
"55",1.187997551,0.152325261,0.141521599,62668,189.7,0.045413681,0.26,0.193954694,0.144047929,0.222555236,36.3,74.35,172.1,9.9,0.3096,0.194295921,0.061983495,0.008774348,0.021402136,0.001677449,0.05414758,0.82675355
"56",2.09039548,0.353683869,0.179589288,55088,247.6,0.045698261,0.207,0.177574788,0.179654933,0.145265398,26.2,36.05,109.7,5.7,0.2538,0.126977611,0.044101714,0.003175226,0.01665176,0.000586569,0.088571851,0.836456447
"57",0.953984287,0.152022376,0.138442802,61253,287.3,0.04328384,0.256,0.206768388,0.18234976,0.211401623,41.9,49.57,140.6,8.5,0.1844,0.158116304,0.110681283,0.004344877,0.044735323,0.001279971,0.203557134,0.619910029
"58",0.588073142,0.193200815,0.119765959,78544,164.7,0.037072137,0.224,0.213989952,0.166182452,0.218918953,32.9,48.72,127.9,6.1,0.0761,0.134096465,0.052112622,0.003041427,0.028623446,0.000876271,0.065733112,0.83424009
"59",1.701528124,0.235234432,0.224284586,45509,622.7,0.056589165,0.271,0.181768664,0.213201998,0.201838784,33.5,52.69,145.7,8.9,0.7185,0.173359823,0.193033112,0.005233159,0.019076236,0.001037497,0.183349809,0.585347154
"60",1.447776629,0.56309881,0.130249511,56568,222.6,0.070180239,0.269,0.148152603,0.114344888,0.070687764,26.2,31.34,140.9,9.9,0.236,0.104544349,0.071752315,0.004379174,0.009040614,0.000580664,0.055155005,0.852704926
"61",1.614699332,0.204137553,0.213302248,40572,528.6,0.04937798,0.329,0.173650154,0.15271094,0.209526419,45.8,84.44,211.6,11.5,0.9424,0.201501056,0.129446956,0.007032927,0.006621912,0.000776362,0.090743024,0.756245148
"62",1.758241758,0.191792559,0.177030864,40180,1046.4,0.055143756,0.373,0.174269001,0.111185533,0.195400226,47.2,75.41,186.7,11.7,0.8984,0.211680808,0.196076663,0.009289741,0.00897407,0.000496054,0.042119504,0.727125141
"63",8.360128617,0.130167745,0.132948957,43795,2445.2,0.044295863,0.379,0.164539966,0.136304063,0.190793819,44.4,103.74,271.4,12.8,0.8382,0.248614348,0.223484348,0.005613525,0.006009774,0.000396249,0.057654207,0.693435478
"64",1.359695628,0.240348796,0.182989261,45356,354.1,0.051004373,0.257,0.176404384,0.193464915,0.177575355,43.5,63.79,176.4,10.2,0.5347,0.181342888,0.103344768,0.004577191,0.019104057,0.000782071,0.130420656,0.728466613
"65",1.500682128,0.142821309,0.129313833,56158,423.7,0.041349139,0.357,0.226416267,0.147638698,0.212868028,35.7,78.4,195.7,7.6,0.4032,0.190639048,0.138525695,0.007431098,0.006709936,0.000783871,0.037782586,0.792525006
"66",0.896624473,0.194615186,0.204115338,54686,142.6,0.042760268,0.281,0.184798892,0.214222615,0.202355477,31.3,65.91,178,10.8,0.5822,0.189571692,0.052876808,0.008392903,0.011959508,0.001669474,0.061042056,0.843585424
"67",0.603448276,0.177174488,0.178092864,34787,776.9,0.05230706,0.374,0.159406878,0.161694511,0.199397615,46.8,86.23,228.3,13,0.8939,0.211610221,0.148886809,0.013757174,0.005657536,0.001058244,0.03573609,0.775570841
