"","county.x","cases","deaths","CFR","death_100k","cases_100k","fips","state.x","cases.x","deaths.x","Poor.or.fair.health.raw.value","Adult.smoking.raw.value","Adult.obesity.raw.value","Physical.inactivity.raw.value","Excessive.drinking.raw.value","Sexually.transmitted.infections.raw.value","Uninsured.raw.value","Diabetes.monitoring.raw.value","High.school.graduation.raw.value","Some.college.raw.value","Unemployment.raw.value","Children.in.poverty.raw.value","Income.inequality.raw.value","Air.pollution...particulate.matter.raw.value","Severe.housing.problems.raw.value","HIV.prevalence.raw.value","Food.insecurity.raw.value","Limited.access.to.healthy.foods.raw.value","Uninsured.adults.raw.value","Median.household.income.raw.value","Population.raw.value","X..below.18.years.of.age.raw.value","X..65.and.older.raw.value","X..Non.Hispanic.African.American.raw.value","X..American.Indian.and.Alaskan.Native.raw.value","X..Asian.raw.value","X..Native.Hawaiian.Other.Pacific.Islander.raw.value","X..Hispanic.raw.value","X..Non.Hispanic.white.raw.value","Poverty.raw.value","Communicable.disease.raw.value","Drug.overdose.deaths.raw.value","Violent.crime.raw.value","Frequent.mental.distress.raw.value","lon","lat","POP_LONGITUDE","POP_LATITUDE","PopulationEstimate2018","PopulationDensityperSqMile2010","HeartDiseaseMortality","StrokeMortality","RespMortalityRate2014","Smokers_Percentage","DiabetesPercentage","SVIPercentile","CFR.x","death_100k.x","cases_100k.x","cases.y","deaths.y","CFR.y","death_100k.y","cases_100k.y"
"31","Oneida",1027,56,5.45277507302824,24.3926874207782,447.344463948915,"36065","New York",1400,67,0.156822078,0.165329203,0.321,0.265,0.203144614,345.3,0.060434258,0.861203396,0.818654993,0.601323286,0.048447989,0.259,4.663572516,8.4,0.150022022,314.4,0.131,0.041940938,0.073571251,52404,231190,0.212202085,0.181750941,0.059916086,0.003451706,0.041511311,0.000661793,0.055119166,0.823404992,NA,NA,20.09874225,255.2022546,0.118719573,-75.44634261,43.2436147,-75.359106,43.147454,229577,193.7,199.8,31.4,56.04,16.835257266,11.9,0.6946,4.78571428571429,29.1841081641454,609.817185519455,13650,208,1.52380952380952,90.6014104200334,5945.71755881469
"32","Onondaga",2170,130,5.99078341013825,28.1501659777094,469.891232089457,"36067","New York",2227,50,0.140919109,0.170211636,0.265,0.22,0.215058892,565.8,0.058138013,0.912611958,0.813952038,0.715231963,0.044972636,0.199,4.997632597,8.8,0.153168729,275.3,0.132,0.037526292,0.070570224,56853,466194,0.215706337,0.160960888,0.108579261,0.009129247,0.039341991,0.000499792,0.047851324,0.770844327,NA,NA,23.09579122,341.4522781,0.113344163,-76.19390512,43.00465974,-76.167442,43.067188,461809,600,162.1,33.3,52.16,15.75882059,9.5,0.5207,2.24517287831163,10.8269869145036,482.233997171991,22088,335,1.51666063020645,72.5408123271742,4782.92973935112
"33","Ontario",207,17,8.21256038647343,15.4736765455472,188.414767348722,"36069","New York",267,9,0.134699649,0.178326858,0.283,0.221,0.212820372,312.7,0.056583467,0.845173042,0.885679429,0.722388185,0.043112245,0.14,4.290328865,9.3,0.131674208,104.3,0.1,0.052930531,0.067490611,58320,109828,0.205393889,0.188503842,0.021879666,0.003532797,0.012565102,0.000382416,0.045197946,0.902939141,NA,NA,13.67382162,132.4829017,0.109488674,-77.29985236,42.85386442,-77.260129,42.899374,109864,167.6,151.8,32.1,56.53,14.040081022,9,0.2315,3.37078651685393,8.19194640646618,243.02774339183,4047,49,1.21077341240425,44.6005971018714,3683.64523410762
"34","Orange",10421,375,3.59850302274254,98.1801330537163,2728.36044414074,"36071","New York",1721,37,0.160923773,0.151319774,0.301,0.271,0.177360051,323.3,0.064762672,0.874147415,0.86498192,0.625171831,0.042910782,0.193,4.777899344,8.5,0.230944756,305.7,0.087,0.049523354,0.081384914,71963,379210,0.256251154,0.132649455,0.099720472,0.008259276,0.028519818,0.001009995,0.201052187,0.649698057,NA,NA,19.50649452,253.9658355,0.111936073,-74.31135056,41.40106653,-74.243059,41.422034,381951,459.3,180.8,29,52.02,15.142023205,8.6,0.5538,2.1499128413713,9.68710646130001,450.581357294522,15663,149,0.951286471301794,39.0102395333433,4100.78779738762
"35","Orleans",229,26,11.353711790393,64.0204865556978,563.872746971339,"36073","New York",100,29,0.177682421,0.215646757,0.314,0.275,0.1921407,374,0.070091732,0.84457478,0.846157495,0.522956659,0.056718093,0.222,4.224269557,9.6,0.167348223,720.2,0.124,0.055567037,0.082849017,50750,41346,0.199366323,0.169859237,0.060755575,0.008005611,0.00594979,0.000483723,0.048396459,0.862042277,NA,NA,8.806199565,145.1194658,0.130254706,-78.23425325,43.24726665,-78.223294,43.248317,40612,109.6,207.9,37.5,62,17.041979004,13.3,0.643,29,71.407465773663,246.232640598838,1515,12,0.792079207920792,29.5479168718605,3730.42450507239
"36","Oswego",109,0,0,0,92.4527981814789,"36075","New York",393,3,0.161360636,0.21720527,0.3,0.279,0.236098264,395.3,0.064809429,0.909022556,0.803028455,0.564725446,0.06406831,0.231,4.378797013,8.8,0.1598234,83.4,0.135,0.035251626,0.078381027,52621,118987,0.213493911,0.153705867,0.008639599,0.005000546,0.007185659,0.000260533,0.02501954,0.94185079,NA,NA,18.60873333,164.3279071,0.124624204,-76.14640913,43.42838716,-76.313145,43.391821,117898,128.3,176.7,33.1,71.86,18.606831579,10.7,0.6497,0.763358778625954,2.54457242701318,333.338987938727,4158,59,1.41895141895142,50.0432577312592,3526.77738384027
"37","Otsego",72,6,8.33333333333333,10.0420090712815,120.504108855378,"36077","New York",269,2,0.147650669,0.16972892,0.295,0.218,0.203582601,449.9,0.063740013,0.883146067,0.845755518,0.62966823,0.048834746,0.193,4.360179599,7.6,0.173739496,102.5,0.119,0.091166193,0.073373872,50034,60097,0.162770188,0.197164584,0.019102451,0.002396126,0.014326838,0.00068223,0.036075012,0.914920878,NA,NA,17.59585618,127.2154901,0.119463414,-75.0349875,42.63397143,-75.060062,42.563531,59749,62.2,180.3,30.4,61.86,15.505931362,8,0.4236,0.743494423791822,3.34733635709384,450.216740029122,1217,17,1.39687756778965,28.4523590352977,2036.8541732916
"38","Putnam",1252,60,4.79233226837061,60.6722485135299,1266.02758564899,"36079","New York",360,3,0.113839284,0.154028865,0.253,0.236,0.23748829,168.9,0.055090327,0.86451049,0.918412995,0.692819208,0.039850906,0.064,4.089120343,8.6,0.205912484,164.8,0.052,0.055641291,0.064533256,96267,98900,0.204802831,0.159282103,0.025460061,0.003872599,0.022881699,0.00057634,0.142649141,0.796370071,NA,NA,19.16423752,50.01463013,0.099009098,-73.75269988,41.42884809,-73.717247,41.411282,98892,432.9,165.7,25.3,35.42,12.631481982,5.1,0.0812,0.833333333333333,3.0336124256765,364.033491081179,4574,7,0.153038915609969,7.07842899324516,4625.24774501476
"39","Rensselaer",491,32,6.5173116089613,20.0699941044392,307.948972039989,"36083","New York",427,10,0.142048274,0.16714353,0.294,0.235,0.220203214,440,0.051941202,0.876760563,0.873251462,0.709061569,0.042526878,0.176,4.433840144,8.5,0.154777717,208.2,0.117,0.042813715,0.062084437,63174,160070,0.19986256,0.160592241,0.065802461,0.003248579,0.027594178,0.000449803,0.048922347,0.835465734,NA,NA,8.956280852,297.3645828,0.112665999,-73.51042164,42.71191759,-73.629889,42.699991,159442,244.4,190.4,29.6,71.77,14.564381621,7.6,0.343,2.34192037470726,6.27187315763726,267.808983831111,5531,59,1.06671487976858,37.0040516300598,3468.97304348917
"40","Rockland",13151,458,3.48262489544521,140.62236141175,4037.82680114831,"36087","New York",2267,51,0.14089078,0.11704755,0.235,0.263,0.159833285,235.3,0.07504064,0.88196886,0.860763158,0.643813671,0.041694551,0.254,5.269230769,9.4,0.26861121,258.7,0.095,0.03337587,0.097028423,84358,326780,0.277948467,0.153791542,0.115129445,0.005229818,0.065346716,0.001291389,0.17555542,0.630414958,NA,NA,10.54589872,135.3740802,0.106825214,-74.02496485,41.15290325,-74.019039,41.127623,325695,1796,150.9,25.2,33.58,12.165288495,6.9,0.6038,2.24966916629907,15.6588219039285,696.049985415803,15425,106,0.687196110210697,32.5457867022828,4736.02603662936
"41","Saratoga",480,4,0.833333333333333,1.73789879346376,208.547855215652,"36091","New York",583,11,0.111604464,0.15531913,0.271,0.239,0.221092853,232.5,0.049206222,0.888946015,0.887517172,0.77708956,0.03793781,0.077,3.933271548,8.7,0.122225313,118,0.088,0.039844302,0.059353172,75904,227053,0.207321639,0.167824253,0.016101967,0.002395916,0.027531017,0.000400788,0.030979551,0.907501773,NA,NA,8.994091914,79.95465259,0.104685771,-73.86642423,43.10927763,-73.785787,43.008801,230163,271.1,151.8,28.8,51.64,14.795153675,7.6,0.0475,1.88679245283019,4.77922168202535,253.298749147343,7580,61,0.804749340369393,26.5029566003224,3293.31821361383
"42","Schenectady",689,30,4.35413642960813,19.311232700354,443.514644351464,"36093","New York",717,15,0.143245532,0.164991338,0.27,0.22,0.216116559,506.6,0.056893913,0.870119522,0.792957814,0.657272609,0.043106064,0.182,4.656974045,8.5,0.163626934,238.6,0.118,0.057252231,0.068043292,57923,154553,0.21762114,0.163413198,0.102476173,0.006916721,0.048300583,0.00214166,0.069005454,0.743466643,NA,NA,12.90622338,429.1771962,0.11866311,-74.06519346,42.82422863,-73.946182,42.809284,155350,756.6,189.7,27.8,55.44,14.143836257,8.7,0.3943,2.09205020920502,9.65561635017702,461.538461538462,6766,70,1.03458468814662,45.0595429674928,4355.32668168651
"43","Schoharie",50,0,0,0,160.787214200727,"36095","New York",35,2,0.142822318,0.17762261,0.277,0.252,0.194381679,386.5,0.061938062,0.876889849,0.813411458,0.588023952,0.053914579,0.179,4.338011912,7.3,0.158948195,120.4,0.109,0.06935797,0.07297593,50244,31317,0.183893732,0.194942044,0.014145672,0.002937702,0.008046748,0.000319315,0.032027333,0.931251397,NA,NA,NA,68.47254355,0.11706689,-74.44267109,42.58669407,-74.436027,42.642508,31097,52.7,183.8,28.4,62.74,14.987575215,9.4,0.4013,5.71428571428571,6.43148856802907,112.551049940509,766,3,0.391644908616188,9.64723285204361,2463.26012155513
"44","Schuyler",11,0,0,0,61.4113443501563,"36097","New York",32,0,0.168833511,0.174594865,0.272,0.248,0.196046176,205.6,0.065064235,0.882075472,0.807044199,0.521332997,0.05958268,0.221,4.508487307,8.5,0.12435567,NA,0.119,0.030344098,0.076371231,48109,18099,0.190784021,0.206585999,0.008840267,0.0033151,0.006574949,0.000276258,0.017735787,0.951378529,NA,NA,NA,86.34180562,0.12418035,-76.87725366,42.39503678,-76.869122,42.387815,17912,55.9,173.1,32.1,64.04,16.216943722,8.6,0.3691,0,0,178.651183564091,637,10,1.56985871271586,55.8284948637785,3556.27512282269
"45","Seneca",58,0,0,0,169.096209912536,"36099","New York",48,1,0.151866217,0.175538571,0.289,0.261,0.191577548,286.7,0.069395356,0.873720137,0.833701658,0.544071898,0.047367404,0.211,4.475850816,9,0.141638858,331.3,0.115,0.059773752,0.082148175,48998,34777,0.202547661,0.180895419,0.049716767,0.004485723,0.007619979,8.62639e-05,0.03522443,0.889093366,NA,NA,12.4409057,208.8649161,0.117198036,-76.83318513,42.77398389,-76.828521,42.827354,34300,108.9,154.3,31.6,64.02,15.834344879,11,0.449,2.08333333333333,2.91545189504373,139.941690962099,1036,44,4.24710424710425,128.279883381924,3020.40816326531
"46","St. Lawrence",204,2,0.980392156862745,1.85104630392329,188.806723000176,"36089","New York",122,2,0.171284107,0.184719394,0.304,0.256,0.206426334,299.8,0.067688301,0.88951522,0.820901639,0.600615166,0.065735396,0.228,4.64032,8.7,0.161976912,273.3,0.139,0.067875167,0.081932323,50897,110038,0.202630001,0.162816482,0.022710336,0.009996547,0.011868627,0.000708846,0.023364656,0.919700467,NA,NA,12.63366873,114.4192989,0.126069393,-75.07055083,44.49745954,-75.149708,44.651458,108047,41.8,189.5,32,82.2,17.38965495,9.4,0.7475,1.63934426229508,1.85104630392329,112.913824539321,2990,51,1.7056856187291,47.201680750044,2767.31422436532
"47","Steuben",241,18,7.46887966804979,18.7899285982713,251.576266232411,"36101","New York",212,25,0.162386761,0.19451513,0.325,0.237,0.192147483,347.6,0.05908782,0.880478088,0.841952862,0.613537995,0.057953915,0.214,4.432416953,8.4,0.132614751,109.1,0.131,0.029632966,0.070156132,50190,96940,0.218887972,0.185795337,0.014503817,0.002939963,0.015793274,0.000288839,0.016618527,0.937187951,NA,NA,12.97083269,147.5531057,0.120175047,-77.38909938,42.26930102,-77.320329,42.266288,95796,71.2,193.4,31.8,67.24,15.397564192,11,0.4691,11.7924528301887,26.0971230531546,221.303603490751,3980,87,2.18592964824121,90.8179882249781,4154.66199006222
"48","Suffolk",39643,1949,4.91637867971647,131.592006713961,2676.6043725816,"36103","New York",6812,61,0.1415252,0.150384303,0.248,0.244,0.194252306,263.7,0.069388495,0.866686217,0.891803174,0.656097309,0.043296874,0.105,4.387565153,8.6,0.229769717,232.5,0.059,0.039045451,0.084990531,92310,1492583,0.216579581,0.160456738,0.072253938,0.005988947,0.041389323,0.000887723,0.190228617,0.681992224,NA,NA,20.41298266,129.7363528,0.098760201,-72.84617815,40.86685832,-73.113775,40.821924,1481093,1637.4,181.8,25.3,38.59,12.625481467,6.8,0.2146,0.895478567234292,4.11857999463909,459.930605302976,76034,530,0.697056579951075,35.784383559979,5133.64116905556
"49","Sullivan",1387,29,2.09084354722422,38.4116135526769,1837.13475853665,"36105","New York",215,8,0.190367352,0.1819902,0.298,0.281,0.184674533,323.9,0.087818886,0.87446989,0.775402726,0.561852424,0.047515692,0.254,4.870063444,7.8,0.217579002,525.5,0.118,0.046694308,0.107275804,49016,74801,0.213767196,0.176722236,0.081135279,0.007018623,0.01610941,0.000775391,0.156642291,0.725284421,NA,NA,26.59326924,237.6625799,0.121802925,-74.77417803,41.71357134,-74.707459,41.700086,75498,80.1,190.5,29.4,65.42,16.144075284,9.8,0.7939,3.72093023255814,10.5963071869453,284.775755649156,2106,11,0.522317188983856,14.5699223820499,2789.47786696336
"50","Tioga",130,17,13.0769230769231,35.00823723229,267.710049423394,"36107","New York",119,4,0.150972218,0.16902404,0.3,0.253,0.194423237,206.5,0.054301115,0.853403141,0.829959016,0.609999078,0.051058692,0.192,4.524702017,8.7,0.10728444,74.1,0.099,0.027423352,0.065318976,55643,48760,0.21685808,0.188638228,0.008470057,0.002461034,0.007629204,0.000430681,0.018621821,0.950902379,NA,NA,20.93420582,72.47092928,0.114463779,-76.30568488,42.17365067,-76.297151,42.12098,48560,98.6,175.5,31.2,58.42,15.659405522,10.2,0.1994,3.36134453781513,8.23723228995058,245.05766062603,1868,32,1.71306209850107,65.8978583196046,3846.78747940692
"51","Tompkins",164,2,1.21951219512195,1.94565777825338,159.543937816777,"36109","New York",257,2,0.148866019,0.149877856,0.244,0.202,0.209526147,326.7,0.064040033,0.929899857,0.856888634,0.812431383,0.041284404,0.154,5.752732383,8.7,0.201747522,147.6,0.14,0.053615966,0.071860805,55778,104871,0.148830468,0.131475813,0.038943083,0.004348199,0.109296183,0.00063888,0.049565657,0.771843503,NA,NA,16.21683498,122.7570465,0.115822196,-76.47145894,42.45785979,-76.477416,42.460259,102793,214,148.2,32.5,45.49,14.149173591,5.4,0.3462,0.778210116731518,1.94565777825338,250.01702450556,2102,22,1.04662226450999,21.4022355607872,2044.88632494431
"52","Ulster",1685,47,2.7893175074184,26.3159368193551,943.454330651347,"36111","New York",589,37,0.138553925,0.158123901,0.264,0.231,0.234422182,259.4,0.075357206,0.877629884,0.826418526,0.628486967,0.044064993,0.176,4.819207165,8.3,0.205505116,381.4,0.105,0.08120579,0.090083741,61421,179225,0.18092342,0.186413726,0.05827312,0.004301855,0.02079509,0.000468685,0.10066676,0.796680151,NA,NA,21.11842434,165.6981109,0.118354969,-74.26255038,41.89000073,-74.100745,41.841064,178599,162.3,182.4,28.4,52.25,15.721730154,6.8,0.4704,6.28183361629881,20.7168013258753,329.789080565961,5055,99,1.95845697329377,55.4314413854501,2830.36299195404
"53","Warren",255,30,11.7647058823529,46.681708550533,396.79452267953,"36113","New York",136,0,0.112226582,0.18180039,0.259,0.223,0.221914653,252.4,0.058282866,0.900874636,0.83020936,0.641326212,0.052437385,0.183,4.222629059,8,0.159386282,133.5,0.113,0.038694928,0.068177184,55769,64567,0.186054796,0.209720136,0.011166695,0.002927192,0.008657673,0.000247805,0.023727291,0.941099943,NA,NA,9.782317689,123.7918876,0.108596961,-73.85878186,43.56180119,-73.714626,43.396992,64265,75.8,153.3,28.3,61.39,14.216023097,6.9,0.1742,0,0,211.623745429083,1537,6,0.390370852309694,9.33634171010659,2391.65953473897
"54","Washington",235,11,4.68085106382979,17.974737323725,384.005751915944,"36115","New York",67,3,0.142760323,0.190226053,0.308,0.258,0.196009071,232.5,0.062088816,0.889081456,0.81976662,0.536871214,0.04641691,0.17,4.014004038,8.3,0.163045727,361.2,0.115,0.042864429,0.073962964,51052,61800,0.192152104,0.183576052,0.029611651,0.002977346,0.005485437,0.000372168,0.026779935,0.925631068,NA,NA,NA,121.3508993,0.117861678,-73.44217134,43.32177845,-73.458693,43.290255,61197,76.1,164.9,30.8,65.34,15.354920424,10.3,0.4,4.47761194029851,4.90220108828864,109.48249097178,1079,7,0.648748841519926,11.4384692060068,1763.15832475448
"55","Wayne",115,1,0.869565217391304,1.11032154912063,127.686978148872,"36117","New York",207,2,0.162759173,0.214400912,0.321,0.286,0.187829063,279.2,0.063705466,0.860544218,0.884887687,0.629127942,0.049475635,0.164,3.830215024,9.3,0.120202851,153.8,0.106,0.034889269,0.075156726,58521,90798,0.217383643,0.17489372,0.028370669,0.00378863,0.007390031,0.000429525,0.043139717,0.900504416,NA,NA,8.385132795,158.7523428,0.124121488,-77.03518844,43.15938863,-77.126682,43.143734,90064,155.3,153.7,32.1,63.31,16.092411125,10,0.3414,0.966183574879227,2.22064309824125,229.836560667969,3201,47,1.46829115901281,52.1851128086694,3554.13927873512
"56","Westchester",33480,1499,4.47729988052569,154.917466918558,3460.06457133645,"36119","New York",4687,45,0.142811446,0.113797549,0.208,0.214,0.192357401,347.6,0.082246291,0.871235368,0.875279755,0.715412568,0.042496115,0.115,6.03634797,10.1,0.248239565,402.8,0.081,0.013791853,0.103098538,89380,974542,0.225017495,0.161670816,0.13701821,0.009021674,0.063922335,0.001257001,0.244207022,0.540104993,NA,NA,12.04006606,236.5437938,0.101761794,-73.76250994,41.16350714,-73.804532,41.040536,967612,2204.7,146.8,23.2,31.82,11.37154602,6.4,0.5516,0.960102410923832,4.65062442383931,484.388370545219,43682,318,0.727988645208553,32.8644125951311,4514.41280182553
"57","Wyoming",86,3,3.48837209302326,7.48409629537233,214.544093800674,"36121","New York",51,2,0.161984487,0.219263903,0.272,0.264,0.194482369,286.5,0.060293213,0.844594595,0.895940171,0.508176806,0.052958987,0.144,3.707440561,9.2,0.090503505,452.7,0.112,0.06066659,0.070412179,56089,40791,0.189355495,0.16444804,0.055257287,0.003824373,0.00517271,0.000294183,0.033291658,0.896104533,NA,NA,NA,108.3673974,0.116304533,-78.23232106,42.70127941,-78.218884,42.725754,40085,71.1,180.4,36,62.29,15.897912863,10.7,0.3121,3.92156862745098,4.98939753024822,127.22963702133,1850,36,1.94594594594595,89.809155544468,4615.19271547961
"58","Yates",39,6,15.3846153846154,24.1536170041464,156.998510526951,"36123","New York",25,0,0.128683302,0.162705833,0.263,0.296,0.19002053,253.9,0.096453534,0.784090909,0.85959596,0.4943889,0.044128901,0.235,4.524167807,8.6,0.15560166,33.2,0.11,0.005000106,0.103127273,48820,24923,0.223167356,0.192673434,0.008987682,0.002888898,0.006419773,0.000200618,0.022870441,0.950327007,NA,NA,NA,72.26192979,0.119645415,-77.11955633,42.63186093,-77.078037,42.633657,24841,75,155.6,32.3,66.05,15.130632466,11.7,0.4392,0,0,100.64007085061,694,10,1.44092219020173,40.256028340244,2793.76836681293
