"","county.x","cases","deaths","CFR","death_100k","cases_100k","fips","state.x","cases.x","deaths.x","Poor.or.fair.health.raw.value","Adult.smoking.raw.value","Adult.obesity.raw.value","Physical.inactivity.raw.value","Excessive.drinking.raw.value","Sexually.transmitted.infections.raw.value","Uninsured.raw.value","Diabetes.monitoring.raw.value","High.school.graduation.raw.value","Some.college.raw.value","Unemployment.raw.value","Children.in.poverty.raw.value","Income.inequality.raw.value","Air.pollution...particulate.matter.raw.value","Severe.housing.problems.raw.value","HIV.prevalence.raw.value","Food.insecurity.raw.value","Limited.access.to.healthy.foods.raw.value","Uninsured.adults.raw.value","Median.household.income.raw.value","Population.raw.value","X..below.18.years.of.age.raw.value","X..65.and.older.raw.value","X..Non.Hispanic.African.American.raw.value","X..American.Indian.and.Alaskan.Native.raw.value","X..Asian.raw.value","X..Native.Hawaiian.Other.Pacific.Islander.raw.value","X..Hispanic.raw.value","X..Non.Hispanic.white.raw.value","Poverty.raw.value","Communicable.disease.raw.value","Drug.overdose.deaths.raw.value","Violent.crime.raw.value","Frequent.mental.distress.raw.value","lon","lat","POP_LONGITUDE","POP_LATITUDE","PopulationEstimate2018","PopulationDensityperSqMile2010","HeartDiseaseMortality","StrokeMortality","RespMortalityRate2014","Smokers_Percentage","DiabetesPercentage","SVIPercentile","CFR.x","death_100k.x","cases_100k.x","cases.y","deaths.y","CFR.y","death_100k.y","cases_100k.y"
"11","Cortland",41,0,0,0,85.7328063902306,"36023","New York",143,1,0.160519813,0.184871621,0.282,0.287,0.211539677,397.8,0.052064537,0.909090909,0.829113924,0.616838167,0.056682448,0.211,4.29773858,8.4,0.155444722,155.4,0.127,0.03416783,0.061062509,51810,48070,0.193239026,0.158456418,0.015706262,0.003494903,0.009985438,0.000228833,0.026939879,0.928416892,NA,NA,15.79800533,115.8947071,0.121646299,-76.06449098,42.59475289,-76.145474,42.59613,47823,98.9,165.1,31.7,71.07,15.302328439,10.7,0.3452,0.699300699300699,2.09104405829831,299.019300336658,2368,51,2.15371621621622,106.643246973214,4951.59233005039
"12","Delaware",79,0,0,0,177.420441529858,"36025","New York",55,5,0.149806423,0.194692817,0.294,0.262,0.199713648,328.5,0.072721894,0.876146789,0.828892216,0.557596372,0.054983707,0.286,4.534679497,7.4,0.173722251,118.6,0.121,0.00789258,0.085447211,45381,45523,0.174790765,0.233003097,0.015947982,0.003470773,0.010895591,0.000439338,0.038156536,0.922149243,NA,NA,16.64772686,141.9507474,0.119603665,-74.9704907,42.19659292,-74.993985,42.244535,44527,33.3,184.1,28.7,54.35,15.84691835,6.6,0.6331,9.09090909090909,11.2291418689784,123.520560558762,828,11,1.32850241545894,24.7041121117524,1859.54589350282
"13","Dutchess",3909,150,3.83729854182655,51.0693930913325,1330.86838396012,"36027","New York",1213,6,0.133770766,0.154917023,0.244,0.228,0.182215338,305.8,0.062177984,0.874968039,0.845002706,0.683166571,0.041665499,0.114,4.536211745,8.6,0.207156221,380.1,0.094,0.056022083,0.074237444,73680,294473,0.193929494,0.164391982,0.101805599,0.004744068,0.03925657,0.000753889,0.119878563,0.718632948,NA,NA,20.07203379,213.4885868,0.112839208,-73.7519071,41.76732521,-73.839417,41.681015,293718,373.9,178.6,26.3,46.9,15.040865509,7.7,0.4207,0.494641384995878,2.0427757236533,412.981158798576,10725,133,1.24009324009324,45.2815285409815,3651.46160603027
"14","Erie",6070,521,8.5831960461285,56.647736971836,659.984190823502,"36029","New York",5377,97,0.159020923,0.177520262,0.292,0.25,0.215957096,548.6,0.054297432,0.847758887,0.819940172,0.720104934,0.048822103,0.198,5.091630557,10.6,0.151197664,275.6,0.135,0.05574711,0.065452593,54175,921046,0.205000619,0.170838373,0.130706827,0.007265652,0.036097003,0.000482061,0.053209069,0.757869857,NA,NA,26.27908095,447.7153604,0.120130326,-78.73493278,42.76450405,-78.792596,42.889478,919719,881.4,180.9,36.6,48.21,17.253724261,9.6,0.414,1.80397991445044,10.546699589766,584.635089630637,38653,712,1.84203037280418,77.4149495661175,4202.69669322913
"15","Essex",45,0,0,0,120.643431635389,"36031","New York",132,14,0.134095016,0.16714105,0.267,0.278,0.221482458,108.6,0.068172239,0.88117284,0.864116719,0.560528082,0.053432905,0.183,3.965687079,7.1,0.153500321,199.9,0.11,0.020934384,0.07902598,50506,38102,0.164820744,0.221300719,0.026009133,0.006220146,0.007296205,0.00039368,0.033804,0.917904572,NA,NA,16.48461292,141.8961081,0.109046885,-73.78035307,44.11612863,-73.689906,44.174474,37300,21.9,154.7,30.1,57.62,13.756577864,8.5,0.3869,10.6060606060606,37.5335120643432,353.887399463807,760,2,0.263157894736842,5.36193029490617,2037.53351206434
"16","Franklin",22,0,0,0,43.7436621398604,"36033","New York",43,1,0.150997713,0.229049751,0.267,0.306,0.202810631,230.2,0.077834225,0.814469078,0.832839314,0.512939274,0.056433295,0.262,5.129939126,8.4,0.136434919,598.6,0.139,0.090543658,0.092634334,49062,50409,0.195599992,0.158027336,0.055049694,0.075780119,0.00523716,0.000257891,0.033684461,0.819516356,NA,NA,11.81637356,120.852913,0.124980939,-74.30672735,44.59142651,-74.344365,44.712835,50293,31.7,180.2,30.4,65.29,18.698972223,11.2,0.7073,2.32558139534884,1.98834827908456,85.4989760006363,974,8,0.82135523613963,15.9067862326765,1936.65122382837
"17","Fulton",208,13,6.25,24.2578044820959,388.124871713534,"36035","New York",129,15,0.165762675,0.210383685,0.251,0.293,0.204233369,369.7,0.067119346,0.819078947,0.743384309,0.552775179,0.056865941,0.226,4.412262463,7.7,0.155748663,133.9,0.131,0.034951872,0.079674547,45982,53828,0.201456491,0.18850784,0.018466226,0.003158208,0.006780858,0.000334399,0.029352753,0.929590548,NA,NA,10.49868766,112.9031279,0.12511524,-74.4252687,43.11157583,-74.330346,43.059172,53591,112.1,209.9,26.9,78.28,18.383444989,10.4,0.501,11.6279069767442,27.9897744024183,240.712059860798,1593,19,1.19271814187068,35.4537142430632,2972.51404153683
"18","Genesee",202,5,2.47524752475248,8.69398897602198,351.237154631288,"36037","New York",128,1,0.167079933,0.2038223,0.268,0.245,0.184056681,287.3,0.058178128,0.824289406,0.888707281,0.648265683,0.045697846,0.162,4.087260476,9.7,0.121427081,157,0.112,0.012225361,0.06845482,54211,58482,0.20544783,0.180670976,0.027854725,0.011490715,0.006925208,0.000102596,0.031941452,0.905817175,NA,NA,16.98937032,182.4929201,0.121906065,-78.19807158,42.99963258,-78.173095,42.999625,57511,121.9,166.4,32.2,55.39,15.922101555,11.3,0.1879,0.78125,1.7387977952044,222.566117786163,3171,85,2.68054241564175,147.797812592374,5513.72780859314
"19","Greene",238,5,2.10084033613445,10.5283106272767,501.147585858373,"36039","New York",86,9,0.164083181,0.175018893,0.24,0.26,0.201214526,314.8,0.069387987,0.811881188,0.860161871,0.502727102,0.050308058,0.213,4.579755447,7.7,0.172375691,466.1,0.112,0.060254201,0.079616078,49860,47508,0.168708428,0.209164772,0.057884988,0.004104572,0.010629789,0.000420982,0.056979877,0.853898291,NA,NA,23.06079665,223.3065917,0.114646934,-74.13099837,42.27937477,-73.975873,42.299303,47491,76.1,182.4,28.7,55.5,15.446060347,7.9,0.4159,10.4651162790698,18.9509591290981,181.08694278916,1601,37,2.31105559025609,77.9094986418479,3371.16506285401
"20","Hamilton",5,0,0,0,112.7649977447,"36041","New York",10,1,0.117831794,0.142326436,0.283,0.252,0.213578393,148.5,0.074530516,0.905882353,NA,0.53880597,0.064787547,0.184,4.457169056,6.6,0.100609756,NA,0.108,0.120896939,0.081684982,52134,4542,0.141347424,0.289299868,0.00902686,0.003082343,0.005944518,0.000880669,0.015411713,0.953104359,NA,NA,NA,62.70466105,0.10737641,-74.50426776,43.66007705,-74.385121,43.612034,4434,2.8,167.2,28.6,56.93,13.93683141,7.5,0.3898,10,22.55299954894,225.5299954894,128,0,0,0,2886.78394226432
